Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Larry Nance Jr. (26450271),Larry Nance Jr.,26450271,PF/C/F/UTIL,3600,MIA@NOP 01/18/2023 08:00PM ET,NOP,20.6
SF/PF,Taurean Prince (26450275),Taurean Prince,26450275,SF/PF/F/UTIL,3600,MIN@DEN 01/18/2023 10:00PM ET,MIN,14.94
PF/C,Robert Covington (26450279),Robert Covington,26450279,PF/C/F/UTIL,3600,LAC@UTA 01/18/2023 09:00PM ET,LAC,15.4
SG/SF,Max Christie (26450266),Max Christie,26450266,SG/SF/F/G/UTIL,3600,SAC@LAL 01/18/2023 10:30PM ET,LAL,7.74
SG/SF,Dyson Daniels (26450298),Dyson Daniels,26450298,SG/SF/F/G/UTIL,3500,MIA@NOP 01/18/2023 08:00PM ET,NOP,14.07
C,DeAndre Jordan (26450296),DeAndre Jordan,26450296,C/UTIL,3500,MIN@DEN 01/18/2023 10:00PM ET,DEN,13.35
PG,Reggie Jackson (26450303),Reggie Jackson,26450303,PG/G/UTIL,3500,LAC@UTA 01/18/2023 09:00PM ET,LAC,20.98
PF,Tari Eason (26450293),Tari Eason,26450293,PF/F/UTIL,3500,CHA@HOU 01/18/2023 08:00PM ET,HOU,19.13
PG/SG,Jordan Goodwin (26450316),Jordan Goodwin,26450316,PG/SG/G/UTIL,3400,WAS@NYK 01/18/2023 07:30PM ET,WAS,18.19
PF/C,Maxi Kleber (26450306),Maxi Kleber,26450306,PF/C/F/UTIL,3400,ATL@DAL 01/18/2023 07:30PM ET,DAL,14.98
PF/C,Darius Bazley (26450322),Darius Bazley,26450322,PF/C/F/UTIL,3400,IND@OKC 01/18/2023 08:00PM ET,OKC,15.04
SF,Ziaire Williams (26450313),Ziaire Williams,26450313,SF/F/UTIL,3400,CLE@MEM 01/18/2023 08:00PM ET,MEM,12.94
C,Orlando Robinson (26450320),Orlando Robinson,26450320,C/UTIL,3400,MIA@NOP 01/18/2023 08:00PM ET,MIA,13.21
SF,Talen Horton-Tucker (26450310),Talen Horton-Tucker,26450310,SF/F/UTIL,3400,LAC@UTA 01/18/2023 09:00PM ET,UTA,15.49
SG,Corey Kispert (26450348),Corey Kispert,26450348,SG/G/UTIL,3300,WAS@NYK 01/18/2023 07:30PM ET,WAS,17.16
PF,Santi Aldama (26450326),Santi Aldama,26450326,PF/F/UTIL,3300,CLE@MEM 01/18/2023 08:00PM ET,MEM,20.97
SF/PF,Haywood Highsmith (26450329),Haywood Highsmith,26450329,SF/PF/F/UTIL,3300,MIA@NOP 01/18/2023 08:00PM ET,MIA,12.96
C,Guillermo Hernangomez (26450342),Guillermo Hernangomez,26450342,C/UTIL,3300,MIA@NOP 01/18/2023 08:00PM ET,NOP,14.69
C,Zeke Nnaji (26450333),Zeke Nnaji,26450333,C/UTIL,3300,MIN@DEN 01/18/2023 10:00PM ET,DEN,8.18
PG/SG,Austin Rivers (26450344),Austin Rivers,26450344,PG/SG/G/UTIL,3300,MIN@DEN 01/18/2023 10:00PM ET,MIN,11.49
PG/SG,Nickeil Alexander-Walker (26450335),Nickeil Alexander-Walker,26450335,PG/SG/G/UTIL,3300,LAC@UTA 01/18/2023 09:00PM ET,UTA,14.58
PF,Juan Toscano-Anderson (26450339),Juan Toscano-Anderson,26450339,PF/F/UTIL,3300,SAC@LAL 01/18/2023 10:30PM ET,LAL,8.28
SG/SF,Terence Davis (26450351),Terence Davis,26450351,SG/SF/F/G/UTIL,3300,SAC@LAL 01/18/2023 10:30PM ET,SAC,13.71
PF,Oshae Brissett (26450362),Oshae Brissett,26450362,PF/F/UTIL,3200,IND@OKC 01/18/2023 08:00PM ET,IND,12.85
SG,David Roddy (26450359),David Roddy,26450359,SG/G/UTIL,3200,CLE@MEM 01/18/2023 08:00PM ET,MEM,12.75
SF,Ochai Agbaji (26450356),Ochai Agbaji,26450356,SF/F/UTIL,3200,LAC@UTA 01/18/2023 09:00PM ET,UTA,7.08
C,Taj Gibson (26450386),Taj Gibson,26450386,C/UTIL,3100,WAS@NYK 01/18/2023 07:30PM ET,WAS,8.12
SF,AJ Griffin (26450365),AJ Griffin,26450365,SF/F/UTIL,3100,ATL@DAL 01/18/2023 07:30PM ET,ATL,16.54
C,Dwight Powell (26450372),Dwight Powell,26450372,C/UTIL,3100,ATL@DAL 01/18/2023 07:30PM ET,DAL,13.03
SG/SF,Lindy Waters III (26450379),Lindy Waters III,26450379,SG/SF/F/G/UTIL,3100,IND@OKC 01/18/2023 08:00PM ET,OKC,9.68
C,Moses Brown (26450384),Moses Brown,26450384,C/UTIL,3100,LAC@UTA 01/18/2023 09:00PM ET,LAC,10.17
SG/SF,Garrison Mathews (26450374),Garrison Mathews,26450374,SG/SF/F/G/UTIL,3100,CHA@HOU 01/18/2023 08:00PM ET,HOU,9
C,Mark Williams (26450388),Mark Williams,26450388,C/UTIL,3100,CHA@HOU 01/18/2023 08:00PM ET,CHA,15.55
SG/SF,Cody Martin (26450390),Cody Martin,26450390,SG/SF/F/G/UTIL,3100,CHA@HOU 01/18/2023 08:00PM ET,CHA,13.14
PG/SG,Davion Mitchell (26450368),Davion Mitchell,26450368,PG/SG/G/UTIL,3100,SAC@LAL 01/18/2023 10:30PM ET,SAC,12.96
C,Isaiah Hartenstein (26450486),Isaiah Hartenstein,26450486,C/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,16.16
SF,Svi Mykhailiuk (26450488),Svi Mykhailiuk,26450488,SF/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,2.94
SF,Evan Fournier (26450491),Evan Fournier,26450491,SF/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,13.25
PG,Ryan Arcidiacono (26450494),Ryan Arcidiacono,26450494,PG/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,1.5
PG/SG,Derrick Rose (26450497),Derrick Rose,26450497,PG/SG/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,11.29
PG/SG,Miles McBride (26450501),Miles McBride,26450501,PG/SG/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,7.39
PF/C,Jericho Sims (26450505),Jericho Sims,26450505,PF/C/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,10.82
SF,DaQuan Jeffries (26450509),DaQuan Jeffries,26450509,SF/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,0
SF,Trevor Keels (26450512),Trevor Keels,26450512,SF/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,1.25
PF/C,Obi Toppin (26450515),Obi Toppin,26450515,PF/C/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,NYK,14.22
SF/PF,Anthony Gill (26450685),Anthony Gill,26450685,SF/PF/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,5.9
SG/SF,Will Barton (26450689),Will Barton,26450689,SG/SF/F/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,16.23
PF/C,Isaiah Todd (26450694),Isaiah Todd,26450694,PF/C/F/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,0.5
PG,Devon Dotson (26450698),Devon Dotson,26450698,PG/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,6.08
PG/SG,Johnny Davis (26450701),Johnny Davis,26450701,PG/SG/G/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,2.42
C,Vernon Carey Jr. (26450705),Vernon Carey Jr.,26450705,C/UTIL,3000,WAS@NYK 01/18/2023 07:30PM ET,WAS,2.11
PG/SG,Aaron Holiday (26450403),Aaron Holiday,26450403,PG/SG/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,10.19
PF,Davis Bertans (26450410),Davis Bertans,26450410,PF/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,7.16
PG/SG,Frank Ntilikina (26450413),Frank Ntilikina,26450413,PG/SG/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,7.3
C,JaVale McGee (26450417),JaVale McGee,26450417,C/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,8.46
SG,AJ Lawson (26450419),AJ Lawson,26450419,SG/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,2.31
SG/SF,Theo Pinson (26450422),Theo Pinson,26450422,SG/SF/F/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,4.38
PG,McKinley Wright IV (26450427),McKinley Wright IV,26450427,PG/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,6.57
SF,Josh Green (26450430),Josh Green,26450430,SF/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,DAL,13.67
C,Derrick Favors (26450600),Derrick Favors,26450600,C/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,0
PF/C,Frank Kaminsky (26450602),Frank Kaminsky,26450602,PF/C/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,6.69
PF,Justin Holiday (26450606),Justin Holiday,26450606,PF/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,8.31
SG/SF,Trent Forrest (26450609),Trent Forrest,26450609,SG/SF/F/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,8.87
PG,Vit Krejci (26450614),Vit Krejci,26450614,PG/G/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,3.63
PF,Jalen Johnson (26450617),Jalen Johnson,26450617,PF/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,13.54
SF,Tyrese Martin (26450620),Tyrese Martin,26450620,SF/F/UTIL,3000,ATL@DAL 01/18/2023 07:30PM ET,ATL,2.23
PG/SG,Tre Mann (26450399),Tre Mann,26450399,PG/SG/G/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,16.01
C,Mike Muscala (26450562),Mike Muscala,26450562,C/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,13.2
SF,Aaron Wiggins (26450564),Aaron Wiggins,26450564,SF/F/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,13.8
C,Jaylin Williams (26450567),Jaylin Williams,26450567,C/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,11.25
PF/C,Eugene Omoruyi (26450569),Eugene Omoruyi,26450569,PF/C/F/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,10
SG,Ousmane Dieng (26450573),Ousmane Dieng,26450573,SG/G/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,11.46
C,Chet Holmgren (26450576),Chet Holmgren,26450576,C/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,OKC,0
PF,James Johnson (26450753),James Johnson,26450753,PF/F/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,5.57
C,Terry Taylor (26450756),Terry Taylor,26450756,C/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,4.85
PG,Trevelin Queen (26450758),Trevelin Queen,26450758,PG/G/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,6.75
C,Goga Bitadze (26450761),Goga Bitadze,26450761,C/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,9.59
PF,Daniel Theis (26450763),Daniel Theis,26450763,PF/F/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,0
SF,Kendall Brown (26450766),Kendall Brown,26450766,SF/F/UTIL,3000,IND@OKC 01/18/2023 08:00PM ET,IND,4.67
PF/C,Kenneth Lofton Jr. (26450541),Kenneth Lofton Jr.,26450541,PF/C/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,4.25
PG,Kennedy Chandler (26450545),Kennedy Chandler,26450545,PG/G/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,8.59
C,Xavier Tillman (26450548),Xavier Tillman,26450548,C/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,10.58
SG/SF,Vince Williams Jr. (26450550),Vince Williams Jr.,26450550,SG/SF/F/G/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,3.53
SF/PF,Jake LaRavia (26450555),Jake LaRavia,26450555,SF/PF/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,8.87
SG,Danny Green (26450559),Danny Green,26450559,SG/G/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,MEM,0
PG/SG,Raul Neto (26450727),Raul Neto,26450727,PG/SG/G/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,7.19
PF,Cedi Osman (26450731),Cedi Osman,26450731,PF/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,15.76
C,Robin Lopez (26450734),Robin Lopez,26450734,C/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,5.45
PF/C,Isaiah Mobley (26450736),Isaiah Mobley,26450736,PF/C/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,3.16
SF,Lamar Stevens (26450740),Lamar Stevens,26450740,SF/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,13.16
SF/PF,Mamadi Diakite (26450743),Mamadi Diakite,26450743,SF/PF/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,4.29
SF,Dean Wade (26450747),Dean Wade,26450747,SF/F/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,15.52
SG,Dylan Windler (26450750),Dylan Windler,26450750,SG/G/UTIL,3000,CLE@MEM 01/18/2023 08:00PM ET,CLE,0
PF,Jamal Cain (26450407),Jamal Cain,26450407,PF/F/UTIL,3000,MIA@NOP 01/18/2023 08:00PM ET,MIA,10.65
PF/C,Jaxson Hayes (26450578),Jaxson Hayes,26450578,PF/C/F/UTIL,3000,MIA@NOP 01/18/2023 08:00PM ET,NOP,10.7
PG/SG,Devonte' Graham (26450582),Devonte' Graham,26450582,PG/SG/G/UTIL,3000,MIA@NOP 01/18/2023 08:00PM ET,NOP,11.91
